secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
117,104,0,1.31367,54.54,0,426,33,12.59462500,56.03975633,0,-1.46,24,0,49,0,0,0,0,0,0,0,0
118,103,0,1.32889,53.7984,0,440,33,12.59439617,56.03980243,0,-1.34,24,0,50,0,0,0,0,0,0,0,0
119,103,0,1.34653,53.7984,0,449,33.6,12.59413164,56.03985809,0,-0.38,24,0,47,0,0,0,0,0,0,0,0
120,100,0,1.36129,53.7984,0,432,33.8,12.59390901,56.03990293,0,0,24,0,47,0,0,0,0,0,0,0,0
121,101,0,1.3734,53.7984,0,444,34,12.59372486,56.03993847,0,-0.05,24,0,49,0,0,0,0,0,0,0,0
122,100,0,1.39094,53.7984,0,478,34.2,12.59345882,56.03999186,0,0.24,24,0,50,0,0,0,0,0,0,0,0
123,100,0,1.40583,53.7912,0,470,34.4,12.59323192,56.04003419,0,0.65,24,0,48,0,0,0,0,0,0,0,0
124,99,0,1.42029,53.6328,0,433,34.4,12.59301156,56.04007509,0,0.96,24,0,50,0,0,0,0,0,0,0,0
125,99,0,1.43514,52.8156,0,431,34.4,12.59278358,56.04011357,0,1.1,24,0,49,0,0,0,0,0,0,0,0
126,99,0,1.44931,52.5672,0,461,34.4,12.59256565,56.04014718,0,1.07,24,0,50,0,0,0,0,0,0,0,0
127,101,0,1.4612,52.47,0,468,34.4,12.59238166,56.04017819,0,0.89,24,0,51,0,0,0,0,0,0,0,0
128,101,0,1.47917,52.47,0,455,34.6,12.59210414,56.04022044,0,0.65,24,0,50,0,0,0,0,0,0,0,0
129,101,0,1.49349,52.47,0,422,34.8,12.59187925,56.04024625,0,0.53,24,0,49,0,0,0,0,0,0,0,0
130,101,0,1.50535,52.47,0,406,35,12.59169309,56.04026897,0,0.48,24,0,44,0,0,0,0,0,0,0,0
131,101,0,1.52081,52.4772,0,408,35,12.59144926,56.04029302,0,0.5,24,0,49,0,0,0,0,0,0,0,0
132,99,0,1.53818,52.5564,0,441,35.2,12.59117366,56.04031876,0,0.57,24,0,46,0,0,0,0,0,0,0,0
133,100,0,1.55228,52.3692,0,457,35.4,12.59094978,56.04033326,0,0.68,24,0,49,0,0,0,0,0,0,0,0
134,100,0,1.56685,52.38,0,461,35.4,12.59071668,56.04034474,0,0.76,24,0,50,0,0,0,0,0,0,0,0
135,101,0,1.58173,52.5708,0,452,35.4,12.59047864,56.04035647,0,0.76,24,0,51,0,0,0,0,0,0,0,0
136,101,0,1.59381,52.5708,0,444,35.4,12.59028619,56.04036829,0,0.68,24,0,50,0,0,0,0,0,0,0,0
137,101,0,1.6116,52.6176,0,448,35.4,12.59000288,56.04038749,0,0.55,24,0,51,0,0,0,0,0,0,0,0
138,101,0,1.62645,52.8012,0,446,35.4,12.58976592,56.04040283,0,0.17,24,0,50,0,0,0,0,0,0,0,0
139,102,0,1.64097,52.8012,0,442,35.4,12.58953441,56.04041749,0,0,24,0,48,0,0,0,0,0,0,0,0
140,103,0,1.65559,52.8012,0,443,35.2,12.58930115,56.04042914,0,0,24,0,50,0,0,0,0,0,0,0,0
141,103,0,1.6705,52.8048,0,440,35.4,12.58906369,56.04044842,0,0,24,0,49,0,0,0,0,0,0,0,0
142,104,0,1.68569,52.8768,0,432,35.6,12.58882262,56.04046795,0,0,23,0,51,0,0,0,0,0,0,0,0
143,105,0,1.70041,52.9884,0,431,35.4,12.58859003,56.04049000,0,0,23,0,47,0,0,0,0,0,0,0,0
144,104,0,1.7159,53.3808,0,457,35.2,12.58834410,56.04050986,0,0,23,0,51,0,0,0,0,0,0,0,0
145,104,0,1.73103,53.5932,0,461,35.2,12.58810597,56.04053635,0,0,23,0,50,0,0,0,0,0,0,0,0
146,103,0,1.74648,54.1008,0,463,35.2,12.58786415,56.04056778,0,0,23,0,50,0,0,0,0,0,0,0,0
147,103,0,1.76143,54.1008,0,455,35.4,12.58763399,56.04060567,0,0,23,0,50,0,0,0,0,0,0,0,0
148,103,0,1.77632,54.1008,0,436,35.4,12.58740843,56.04064766,0,0,23,0,47,0,0,0,0,0,0,0,0
149,103,0,1.79176,54.1008,0,437,35.6,12.58717432,56.04069426,0,0,23,0,49,0,0,0,0,0,0,0,0
150,103,0,1.80668,54.1008,0,442,35.6,12.58694843,56.04073643,0,0,23,0,48,0,0,0,0,0,0,0,0
151,102,0,1.82151,54.09,0,437,35.8,12.58672396,56.04078194,0,0,23,0,51,0,0,0,0,0,0,0,0
152,102,0,1.83627,53.9316,0,457,35.8,12.58650343,56.04083089,0,0,23,0,51,0,0,0,0,0,0,0,0
153,102,0,1.84821,53.9244,0,449,35.8,12.58632591,56.04086936,0,0,23,0,50,0,0,0,0,0,0,0,0
154,102,0,1.86359,53.7984,0,429,35.8,12.58609432,56.04092033,0,0,23,0,49,0,0,0,0,0,0,0,0
155,101,0,1.87846,53.7696,0,417,36,12.58586943,56.04096249,0,0,23,0,46,0,0,0,0,0,0,0,0
156,102,0,1.89575,53.7552,0,434,36.2,12.58560749,56.04101454,0,0,23,0,48,0,0,0,0,0,0,0,0
157,101,0,1.91009,53.5212,0,481,36.2,12.58538956,56.04105536,0,0,23,0,50,0,0,0,0,0,0,0,0
158,102,0,1.92465,53.3304,0,480,36.4,12.58516484,56.04108947,0,0,23,0,49,0,0,0,0,0,0,0,0
159,102,0,1.93946,53.3304,0,457,36.2,12.58493392,56.04112392,0,0,23,0,50,0,0,0,0,0,0,0,0
160,100,0,1.95472,53.3304,0,437,36.2,12.58469420,56.04115133,0,0,23,0,46,0,0,0,0,0,0,0,0
161,96,0,1.96929,53.3304,0,429,36.2,12.58446504,56.04117715,0,0,23,0,50,0,0,0,0,0,0,0,0
162,97,0,1.98438,53.3304,0,427,36,12.58422658,56.04119986,0,0,23,0,51,0,0,0,0,0,0,0,0
163,97,0,1.99943,53.3376,0,441,35.8,12.58398803,56.04122216,0,0,23,0,50,0,0,0,0,0,0,0,0
164,98,0,2.01236,53.532,0,453,35.6,12.58378175,56.04123431,0,0,23,0,50,0,0,0,0,0,0,0,0
165,99,0,2.02735,53.5824,0,448,35.4,12.58354320,56.04124890,0,0,23,0,50,0,0,0,0,0,0,0,0
166,99,0,2.04565,53.8992,0,436,35.4,12.58325008,56.04126013,0,0,23,0,50,0,0,0,0,0,0,0,0
167,99,0,2.06076,54.5364,0,429,35.2,12.58300852,56.04126759,0,0,23,0,50,0,0,0,0,0,0,0,0
168,100,0,2.07369,54.7056,0,435,35,12.58280056,56.04127127,0,0,23,0,50,0,0,0,0,0,0,0,0
169,100,0,2.0924,54.8028,0,461,35,12.58250066,56.04127111,0,0,23,0,49,0,0,0,0,0,0,0,0
170,99,0,2.1086,54.8928,0,451,35.2,12.58224031,56.04126742,0,0,23,0,49,0,0,0,0,0,0,0,0
171,98,0,2.12359,55.17,0,428,35.4,12.58200009,56.04126759,0,0,23,0,50,0,0,0,0,0,0,0,0
172,96,0,2.13669,55.17,0,420,35.6,12.58178987,56.04127153,0,0,23,0,50,0,0,0,0,0,0,0,0
173,95,0,2.15128,55.17,0,425,35.8,12.58155593,56.04127488,0,0,23,0,49,0,0,0,0,0,0,0,0
174,94,0,2.16634,55.17,0,430,36,12.58131386,56.04127127,0,0,23,0,48,0,0,0,0,0,0,0,0
175,92,0,2.18103,55.0692,0,432,36.4,12.58107833,56.04127111,0,0,23,0,48,0,0,0,0,0,0,0,0
176,92,0,2.19831,52.2432,0,439,36.6,12.58080114,56.04126725,0,0,23,0,50,0,0,0,0,0,0,0,0
177,96,0,2.2124,50.9868,0,451,37,12.58057517,56.04126340,0,0,23,0,51,0,0,0,0,0,0,0,0
178,99,0,2.22345,49.7448,0,493,37.4,12.58039806,56.04125962,0,0,23,0,48,0,0,0,0,0,0,0,0
